"Currency:","USD","USD","USD","USD","BRL","CAD","CNY","DKK","HKD","INR","JPY","KRW","MYR","MXN","NOK","SEK","ZAR","SGD","LKR","CHF","TWD","THB","VEB"
"Unique Identifier: ","H10/H10/RXI$US_N.M.AL","H10/H10/RXI$US_N.M.EU","H10/H10/RXI$US_N.M.NZ","H10/H10/RXI$US_N.M.UK","H10/H10/RXI_N.M.BZ","H10/H10/RXI_N.M.CA","H10/H10/RXI_N.M.CH","H10/H10/RXI_N.M.DN","H10/H10/RXI_N.M.HK","H10/H10/RXI_N.M.IN","H10/H10/RXI_N.M.JA","H10/H10/RXI_N.M.KO","H10/H10/RXI_N.M.MA","H10/H10/RXI_N.M.MX","H10/H10/RXI_N.M.NO","H10/H10/RXI_N.M.SD","H10/H10/RXI_N.M.SF","H10/H10/RXI_N.M.SI","H10/H10/RXI_N.M.SL","H10/H10/RXI_N.M.SZ","H10/H10/RXI_N.M.TA","H10/H10/RXI_N.M.TH","H10/H10/RXI_N.M.VE"
"Time Period","RXI$US_N.M.AL","RXI$US_N.M.EU","RXI$US_N.M.NZ","RXI$US_N.M.UK","RXI_N.M.BZ","RXI_N.M.CA","RXI_N.M.CH","RXI_N.M.DN","RXI_N.M.HK","RXI_N.M.IN","RXI_N.M.JA","RXI_N.M.KO","RXI_N.M.MA","RXI_N.M.MX","RXI_N.M.NO","RXI_N.M.SD","RXI_N.M.SF","RXI_N.M.SI","RXI_N.M.SL","RXI_N.M.SZ","RXI_N.M.TA","RXI_N.M.TH","RXI_N.M.VE"
2014-09,0.9042,1.2889,0.8134,1.6290,2.3379,1.1011,6.1382,5.7757,7.7526,60.8976,107.4257,1035.8914,3.2182,13.2370,6.3525,7.1302,10.9908,1.2638,130.2562,0.9370,30.1310,32.1971,6.2842
2014-10,0.8781,1.2677,0.7876,1.6074,2.4495,1.1212,6.1251,5.8723,7.7572,61.3668,108.0264,1060.3359,3.2677,13.4795,6.5600,7.2456,11.0594,1.2745,130.5618,0.9528,30.3964,32.4418,6.2842
2014-11,0.8644,1.2473,0.7834,1.5771,2.5527,1.1325,6.1249,5.9660,7.7543,61.6828,116.2994,1097.8728,3.3454,13.6148,6.8090,7.4155,11.0901,1.2964,130.9278,0.9642,30.7278,32.7878,6.2842
2014-12,0.8257,1.2329,0.7766,1.5644,2.6419,1.1532,6.1886,6.0351,7.7541,62.7071,119.3233,1102.6224,3.4768,14.5205,7.2772,7.6289,11.4975,1.3150,131.0786,0.9753,31.3519,32.8876,6.2842
2015-01,0.8064,1.1615,0.7628,1.5142,2.6346,1.2122,6.2181,6.4083,7.7531,62.1300,118.2500,1088.1300,3.5847,14.6972,7.6865,8.1131,11.5527,1.3378,131.6075,0.9443,31.6385,32.7280,6.2842
2015-02,0.7797,1.1350,0.7454,1.5329,2.8170,1.2499,6.2518,6.5636,7.7551,61.9905,118.7600,1101.4605,3.5972,14.9170,7.5861,8.3537,11.5773,1.3549,132.7221,0.9361,31.5537,32.5595,6.2842
2015-03,0.7724,1.0819,0.7460,1.4958,3.1414,1.2618,6.2386,6.8954,7.7584,62.4805,120.3945,1112.9005,3.6793,15.2375,7.9952,8.5448,12.0884,1.3770,132.9500,0.9798,31.4382,32.6245,6.2842
2015-04,0.7740,1.0822,0.7596,1.4968,3.0421,1.2337,6.2010,6.9011,7.7509,62.6414,119.5095,1084.6709,3.6320,15.1943,7.8774,8.6321,11.9755,1.3482,132.9227,0.9595,30.9709,32.5141,6.2842
2015-05,0.7891,1.1167,0.7383,1.5456,3.0562,1.2176,6.2035,6.6823,7.7527,63.7150,120.7980,1092.6365,3.5976,15.2796,7.5503,8.3350,11.9720,1.3344,133.4600,0.9316,30.6185,33.5200,6.2842
2015-06,0.7715,1.1226,0.6985,1.5576,3.1117,1.2365,6.2052,6.6460,7.7528,63.7809,123.7186,1112.8832,3.7371,15.4792,7.8111,8.2653,12.2913,1.3455,133.9382,0.9321,30.8982,33.7186,6.2842
2015-07,0.7407,1.0997,0.6650,1.5560,3.2288,1.2863,6.2085,6.7850,7.7514,63.6045,123.3109,1146.5468,3.8020,15.9515,8.1255,8.5325,12.4602,1.3616,133.6818,0.9547,31.1909,34.3518,6.2842
2015-08,0.7295,1.1136,0.6549,1.5578,3.5154,1.3147,6.3383,6.7035,7.7530,65.0971,123.0038,1178.1438,4.0623,16.5340,8.2524,8.5515,12.9012,1.3981,133.8519,0.9685,32.1914,35.3938,6.2842
2015-09,0.7059,1.1229,0.6339,1.5338,3.9032,1.3266,6.3676,6.6447,7.7501,66.1667,120.1476,1184.3300,4.3076,16.8387,8.2845,8.3659,13.6388,1.4148,139.2329,0.9725,32.6695,36.0114,6.2842
2015-10,0.7200,1.1228,0.6693,1.5343,3.8752,1.3072,6.3505,6.6453,7.7499,65.0262,120.0481,1143.1990,4.2557,16.5697,8.2700,8.3314,13.4928,1.4005,140.8510,0.9687,32.4367,35.6790,6.2842
2015-11,0.7146,1.0727,0.6554,1.5194,3.7858,1.3279,6.3640,6.9555,7.7506,66.1000,122.6432,1153.4721,4.3131,16.6306,8.6394,8.6829,14.1449,1.4143,141.9637,1.0098,32.6084,35.7784,6.2842
2015-12,0.7247,1.0889,0.6748,1.4981,3.8808,1.3713,6.4491,6.8530,7.7507,66.5023,121.6350,1169.9464,4.2791,17.0696,8.6971,8.4938,15.0024,1.4081,143.3350,0.9951,32.7905,35.9936,6.2842
2016-01,0.7011,1.0855,0.6534,1.4392,4.0556,1.4208,6.5726,6.8743,7.7812,67.3332,118.2258,1203.3179,4.3388,18.0648,8.8194,8.5483,16.3250,1.4325,143.5505,1.0082,33.4332,36.1226,6.2842
2016-02,0.7134,1.1092,0.6633,1.4290,3.9644,1.3797,6.5501,6.7287,7.7829,68.2395,114.6155,1216.2285,4.1780,18.4332,8.6127,8.4804,15.7622,1.4052,143.6390,0.9920,33.2385,35.5955,6.2842
2016-03,0.7504,1.1134,0.6745,1.4249,3.6980,1.3226,6.5027,6.6986,7.7604,66.8909,112.9317,1181.5730,4.0644,17.6303,8.4754,8.3394,15.3792,1.3724,145.1335,0.9811,32.5874,35.2117,8.6912
2016-04,0.7664,1.1346,0.6892,1.4319,3.5634,1.2818,6.4754,6.5591,7.7556,66.4219,109.5519,1145.7967,3.8971,17.4795,8.2082,8.1110,14.5868,1.3496,145.2019,0.9634,32.3200,35.0629,9.9750
2016-05,0.7318,1.1312,0.6807,1.4524,3.5403,1.2945,6.5259,6.5762,7.7635,66.8895,108.8481,1173.7905,4.0375,18.1360,8.2269,8.2154,15.3257,1.3695,145.9081,0.9777,32.5390,35.4076,9.9750
2016-06,0.7401,1.1232,0.7041,1.4197,3.4234,1.2894,6.5892,6.6210,7.7620,67.2655,105.3509,1165.2023,4.0772,18.6538,8.3064,8.3043,15.0500,1.3533,145.8609,0.9695,32.3000,35.2668,9.9750
2016-07,0.7529,1.1055,0.7132,1.3134,3.2781,1.3052,6.6771,6.7293,7.7568,67.1580,104.1910,1140.8650,4.0151,18.6155,8.4795,8.5722,14.3930,1.3513,145.4010,0.9830,32.1010,35.0410,9.9750
2016-08,0.7629,1.1207,0.7235,1.3101,3.2086,1.2998,6.6466,6.6396,7.7560,66.9035,101.2383,1110.0183,4.0219,18.4742,8.3009,8.4693,13.7828,1.3476,145.2035,0.9711,31.5374,34.7122,9.9750
2016-09,0.7591,1.1218,0.7312,1.3140,3.2532,1.3108,6.6702,6.6390,7.7564,66.7138,101.7843,1108.3638,4.1059,19.2436,8.1957,8.5311,14.0264,1.3591,145.4581,0.9732,31.4562,34.7133,9.9750
2016-10,0.7615,1.1014,0.7153,1.2330,3.1854,1.3251,6.7303,6.7553,7.7570,66.7415,103.9075,1128.1660,4.1738,18.8912,8.1722,8.8210,13.9273,1.3847,146.7600,0.9876,31.5860,35.0545,9.9750
2016-11,0.7532,1.0792,0.7153,1.2432,3.3369,1.3434,6.8402,6.8973,7.7560,67.6395,108.4430,1162.7080,4.3259,20.0086,8.4147,9.1266,13.9125,1.4105,147.8100,0.9963,31.7495,35.3345,9.9756
2016-12,0.7346,1.0545,0.7039,1.2483,3.3540,1.3339,6.9198,7.0524,7.7586,67.8052,115.9981,1183.0700,4.4573,20.4992,8.5617,9.2070,13.8377,1.4358,148.8152,1.0194,32.0005,35.7776,9.9750
2017-01,0.7465,1.0635,0.7132,1.2367,3.1901,1.3183,6.8907,6.9919,7.7560,68.0474,114.8721,1179.1074,4.4550,21.3911,8.4570,8.9451,13.5446,1.4276,149.8342,1.0075,31.6458,35.4289,9.9750
2017-02,0.7664,1.0650,0.7229,1.2495,3.1057,1.3109,6.8694,6.9810,7.7596,66.9726,112.9116,1140.4874,4.4401,20.3008,8.3215,8.9007,13.1905,1.4137,150.8721,1.0010,30.8547,34.9989,9.9750
2017-03,0.7622,1.0691,0.7006,1.2347,3.1275,1.3387,6.8940,6.9553,7.7658,65.8009,112.9165,1133.8617,4.4358,19.2800,8.5063,8.9147,12.9203,1.4049,151.5048,1.0015,30.6487,34.8752,9.9750
2017-04,0.7534,1.0714,0.6969,1.2639,3.1390,1.3437,6.8876,6.9422,7.7737,64.5360,110.0910,1134.1755,4.4030,18.7672,8.5855,8.9616,13.4508,1.3983,151.8620,1.0009,30.3585,34.4495,9.9750
2017-05,0.7437,1.1050,0.6946,1.2929,3.2043,1.3606,6.8843,6.7338,7.7864,64.4195,112.2436,1125.1359,4.3164,18.7666,8.5059,8.7826,13.2640,1.3951,152.3909,0.9867,30.1282,34.4573,9.9750
2017-06,0.7562,1.1233,0.7233,1.2810,3.2954,1.3295,6.8066,6.6203,7.7984,64.4482,110.9141,1130.8464,4.2760,18.1293,8.4594,8.6779,12.8924,1.3834,152.8082,0.9681,30.2595,33.9891,9.9750
2017-07,0.7807,1.1530,0.7358,1.2996,3.1994,1.2690,6.7694,6.4501,7.8091,64.4240,112.4170,1131.7460,4.2875,17.8081,8.1473,8.3129,13.1504,1.3707,153.5875,0.9604,30.3920,33.7090,9.9750
2017-08,0.7915,1.1813,0.7303,1.2952,3.1478,1.2608,6.6670,6.2966,7.8217,63.9683,109.8270,1130.2700,4.2820,17.7969,7.8885,8.0835,13.2149,1.3608,153.0978,0.9653,30.2330,33.2470,9.9750
2017-09,0.7974,1.1913,0.7259,1.3340,3.1325,1.2279,6.5690,6.2455,7.8127,64.4775,110.7760,1131.5990,4.2089,17.8305,7.8382,8.0096,13.1698,1.3494,152.8125,0.9625,30.1305,33.1385,9.9750
2017-10,0.7788,1.1755,0.7041,1.3202,3.1923,1.2607,6.6254,6.3318,7.8053,65.0357,112.9148,1130.8838,4.2280,18.8215,7.9970,8.1776,13.6975,1.3595,153.4905,0.9821,30.2519,33.2186,9.9750
2017-11,0.7620,1.1743,0.6886,1.3217,3.2629,1.2773,6.6200,6.3376,7.8052,64.8435,112.8190,1099.7945,4.1690,18.9306,8.1946,8.3893,14.0428,1.3556,153.5925,0.9915,30.0835,32.8905,9.9750
2017-12,0.7648,1.1836,0.6966,1.3404,3.2950,1.2769,6.5932,6.2885,7.8128,64.2445,112.9405,1082.9020,4.0775,19.1765,8.3178,8.3925,13.0918,1.3462,153.1085,0.9870,29.9545,32.6165,9.9750
2018-01,0.7956,1.2197,0.7263,1.3824,3.2115,1.2429,6.4233,6.1056,7.8190,63.6452,110.8710,1065.6410,3.9517,18.9118,7.9039,8.0480,12.1951,1.3214,153.7452,0.9604,29.4005,31.8700,9.9750
2018-02,0.7867,1.2340,0.7305,1.3961,3.2507,1.2588,6.3183,6.0329,7.8222,64.4300,107.9700,1078.4747,3.9104,18.6473,7.8394,8.0542,11.8216,1.3200,154.7737,0.9355,29.2458,31.4900,21089.7750
2018-03,0.7759,1.2334,0.7258,1.3976,3.2790,1.2933,6.3174,6.0403,7.8413,65.0455,106.0468,1069.9418,3.9013,18.5901,7.7702,8.2406,11.8422,1.3146,155.6386,0.9480,29.1991,31.2564,41273.2619
2018-04,0.7684,1.2270,0.7244,1.4079,3.4089,1.2732,6.2967,6.0705,7.8482,65.6729,107.6562,1068.0452,3.8855,18.3876,7.8471,8.4596,12.1067,1.3160,156.1857,0.9687,29.3767,31.3086,56813.5622
2018-05,0.7525,1.1823,0.6953,1.3470,3.6316,1.2866,6.3701,6.3001,7.8487,67.5100,109.6882,1076.6595,3.9586,19.5525,8.0963,8.7555,12.5394,1.3392,157.7527,0.9969,29.8673,31.9641,72987.5284
2018-06,0.7498,1.1679,0.6942,1.3294,3.7710,1.3125,6.4651,6.3785,7.8471,67.7900,110.0638,1094.3552,3.9973,20.2878,8.1104,8.8010,13.3138,1.3480,158.9619,0.9900,30.0848,32.4867,83600.0000
2018-07,0.7403,1.1685,0.6789,1.3162,3.8221,1.3133,6.7164,6.3768,7.8477,68.6867,111.5210,1122.2029,4.0479,18.9856,8.1307,8.8239,13.3670,1.3630,159.3548,0.9948,30.5429,33.2681,129228.5000
2018-08,0.7325,1.1547,0.6669,1.2878,3.9333,1.3042,6.8453,6.4574,7.8492,69.6317,110.9965,1120.4270,4.0917,18.8633,8.3398,9.0690,14.0916,1.3687,160.3217,0.9880,30.7039,33.0130,2495016.1501
2018-09,0.7206,1.1667,0.6598,1.3066,4.1087,1.3034,6.8551,6.3938,7.8364,72.2779,112.0974,1119.8200,4.1388,18.9991,8.2464,8.9395,14.7504,1.3710,165.2237,0.9683,30.7253,32.5784,61.4953
2018-10,0.7111,1.1488,0.6537,1.3012,3.7611,1.3004,6.9191,6.4939,7.8375,73.5609,112.7218,1131.6150,4.1570,19.1958,8.2545,9.0391,14.4869,1.3790,171.3614,0.9940,30.8823,32.7636,63.1191
2018-11,0.7247,1.1364,0.6777,1.2900,3.7860,1.3205,6.9367,6.5684,7.8286,71.7380,113.3380,1125.3450,4.1825,20.2448,8.4797,9.0676,14.0901,1.3748,176.7275,1.0011,30.8060,32.9485,71.2345
2018-12,0.7169,1.1380,0.6819,1.2664,3.8834,1.3436,6.8837,6.5579,7.8194,70.8331,112.1994,1122.4244,4.1688,20.0972,8.6263,9.0303,14.2574,1.3704,180.0794,0.9919,30.7822,32.7078,349.3944
2019-01,0.7151,1.1418,0.6782,1.2901,3.7356,1.3300,6.7863,6.5386,7.8411,70.7100,108.9605,1120.3300,4.1160,19.1704,8.5476,8.9950,13.8199,1.3560,181.6025,0.9897,30.8080,31.7775,1358.1886
2019-02,0.7136,1.1349,0.6830,1.3016,3.7244,1.3209,6.7367,6.5754,7.8477,71.1739,110.4400,1121.8333,4.0759,19.1953,8.5855,9.2481,13.8139,1.3539,178.3944,1.0014,30.7989,31.3272,3290.3447
2019-03,0.7082,1.1296,0.6835,1.3167,3.8407,1.3371,6.7119,6.6060,7.8492,69.4895,111.1443,1131.6005,4.0770,19.2442,8.6072,9.2931,14.3858,1.3543,178.0952,1.0005,30.8567,31.7352,3289.8605
2019-04,0.7111,1.1234,0.6715,1.3029,3.8974,1.3378,6.7161,6.6454,7.8445,69.4068,111.6414,1142.1650,4.1125,18.9641,8.5623,9.3280,14.1455,1.3561,174.6432,1.0084,30.8468,31.8477,3995.1608
2019-05,0.6945,1.1187,0.6562,1.2855,3.9915,1.3460,6.8519,6.6728,7.8478,69.7827,109.9714,1182.9527,4.1675,19.1110,8.7387,9.5921,14.4222,1.3706,176.1500,1.0107,31.2218,31.7964,5406.0829
2019-06,0.6946,1.1295,0.6602,1.2675,3.8557,1.3289,6.8977,6.6123,7.8260,69.3880,108.0685,1173.7845,4.1603,19.2728,8.6329,9.4085,14.5850,1.3621,176.4635,0.9880,31.2895,31.1010,6172.4045
2019-07,0.6978,1.1211,0.6679,1.2461,3.7785,1.3105,6.8775,6.6588,7.8133,68.7391,108.2864,1177.2345,4.1225,19.0452,8.6196,9.4191,14.0356,1.3616,175.8832,0.9880,31.0768,30.7995,7614.1471
2019-08,0.6775,1.1129,0.6434,1.2160,4.0220,1.3273,7.0629,6.7034,7.8420,71.1891,106.1886,1210.3782,4.1865,19.6828,8.9659,9.6467,15.1564,1.3845,177.9386,0.9787,31.3886,30.7441,14439.4932
2019-09,0.6815,1.1011,0.6345,1.2369,4.1195,1.3241,7.1137,6.7785,7.8350,71.3110,107.5400,1194.1145,4.1819,19.5470,9.0053,9.7086,14.8263,1.3790,180.7975,0.9906,31.0745,30.5580,21018.4955
2019-10,0.6798,1.1058,0.6337,1.2657,4.0825,1.3189,7.0961,6.7554,7.8421,71.0086,108.1368,1183.4473,4.1872,19.3193,9.1528,9.7675,14.9056,1.3704,181.3155,0.9930,30.7014,30.3441,20014.3341
2019-11,0.6827,1.1051,0.6397,1.2884,4.1558,1.3237,7.0199,6.7617,7.8279,71.4942,108.8579,1167.2989,4.1553,19.3261,9.1500,9.6381,14.7882,1.3615,180.3111,0.9929,30.4674,30.2405,28685.5211
2019-12,0.6887,1.1114,0.6599,1.3109,4.1045,1.3169,7.0137,6.7229,7.8045,71.1567,109.1010,1174.7052,4.1464,19.1024,9.0240,9.4324,14.4024,1.3565,181.1976,0.9826,30.2590,30.1957,44160.9900
2020-01,0.6851,1.1098,0.6601,1.3076,4.1512,1.3089,6.9184,6.7339,7.7725,71.2790,109.2667,1167.4624,4.0785,18.8066,8.9615,9.5099,14.4136,1.3517,181.3219,0.9698,30.0200,30.4700,66616.9705
2020-02,0.6664,1.0911,0.6390,1.2953,4.3470,1.3286,6.9967,6.8469,7.7757,71.5295,110.0295,1195.3358,4.1625,18.8423,9.2957,9.6881,15.0244,1.3897,181.5016,0.9762,30.1574,31.3226,73360.9811
2020-03,0.6218,1.1046,0.6056,1.2369,4.8862,1.3960,7.0205,6.7646,7.7651,74.5482,107.6673,1218.1945,4.2958,22.3785,10.2403,9.8437,16.6761,1.4171,184.4095,0.9593,30.1305,32.0945,73313.7127
2020-04,0.6312,1.0871,0.6015,1.2420,5.3171,1.4048,7.0708,6.8638,7.7512,76.1682,107.7386,1223.1309,4.3493,24.1798,10.4199,10.0164,18.5651,1.4228,191.3536,0.9701,30.0732,32.6127,121810.0041
2020-05,0.6517,1.0907,0.6087,1.2302,5.6394,1.3972,7.1016,6.8377,7.7519,75.6575,107.2000,1228.1340,4.3362,23.5240,10.0926,9.7286,18.1839,1.4178,187.5425,0.9692,29.9205,32.0805,181598.4850
