"Currency:","USD","USD","USD","USD","BRL","CAD","CNY","DKK","HKD","INR","JPY","KRW","MYR","MXN","NOK","SEK","ZAR","SGD","LKR","CHF","TWD","THB","VEB"
"Unique Identifier: ","H10/H10/RXI$US_N.M.AL","H10/H10/RXI$US_N.M.EU","H10/H10/RXI$US_N.M.NZ","H10/H10/RXI$US_N.M.UK","H10/H10/RXI_N.M.BZ","H10/H10/RXI_N.M.CA","H10/H10/RXI_N.M.CH","H10/H10/RXI_N.M.DN","H10/H10/RXI_N.M.HK","H10/H10/RXI_N.M.IN","H10/H10/RXI_N.M.JA","H10/H10/RXI_N.M.KO","H10/H10/RXI_N.M.MA","H10/H10/RXI_N.M.MX","H10/H10/RXI_N.M.NO","H10/H10/RXI_N.M.SD","H10/H10/RXI_N.M.SF","H10/H10/RXI_N.M.SI","H10/H10/RXI_N.M.SL","H10/H10/RXI_N.M.SZ","H10/H10/RXI_N.M.TA","H10/H10/RXI_N.M.TH","H10/H10/RXI_N.M.VE"
"Time Period","RXI$US_N.M.AL","RXI$US_N.M.EU","RXI$US_N.M.NZ","RXI$US_N.M.UK","RXI_N.M.BZ","RXI_N.M.CA","RXI_N.M.CH","RXI_N.M.DN","RXI_N.M.HK","RXI_N.M.IN","RXI_N.M.JA","RXI_N.M.KO","RXI_N.M.MA","RXI_N.M.MX","RXI_N.M.NO","RXI_N.M.SD","RXI_N.M.SF","RXI_N.M.SI","RXI_N.M.SL","RXI_N.M.SZ","RXI_N.M.TA","RXI_N.M.TH","RXI_N.M.VE"
2001-09,0.5036,0.9114,0.4173,1.4638,2.6767,1.5679,8.2768,8.1654,7.7997,47.7511,118.6117,1293.8333,3.8000,9.4253,8.7691,10.6353,8.6756,1.7494,90.1572,1.6338,34.5848,44.3311,0.7435
2001-10,0.5042,0.9050,0.4139,1.4501,2.7408,1.5717,8.2768,8.2186,7.7999,48.0514,121.4536,1302.3636,3.8001,9.3391,8.8329,10.5661,9.2804,1.8113,90.9536,1.6357,34.5827,44.7500,0.7432
2001-11,0.5165,0.8883,0.4158,1.4356,2.5481,1.5922,8.2769,8.3832,7.7996,48.0430,122.4055,1282.1000,3.8000,9.2250,8.9296,10.6117,9.7388,1.8295,92.6700,1.6509,34.4975,44.4105,0.7451
2001-12,0.5138,0.8912,0.4157,1.4413,2.3635,1.5788,8.2764,8.3526,7.7989,47.9345,127.5945,1292.2850,3.8000,9.1574,8.9713,10.5753,11.6761,1.8382,93.1940,1.6566,34.6820,43.9515,0.7536
2002-01,0.5170,0.8832,0.4245,1.4322,2.3799,1.5997,8.2771,8.4183,7.7989,48.3533,132.6833,1316.3381,3.8000,9.1636,8.9684,10.4561,11.6258,1.8394,93.4733,1.6709,35.0271,44.0362,0.7624
2002-02,0.5128,0.8707,0.4187,1.4227,2.4242,1.5964,8.2767,8.5343,7.7996,48.7168,133.6426,1320.5526,3.8002,9.1050,8.9492,10.5501,11.4923,1.8312,93.6500,1.6970,35.0732,43.8537,0.8985
2002-03,0.5256,0.8766,0.4333,1.4230,2.3450,1.5877,8.2773,8.4795,7.7997,48.7667,131.0610,1322.9048,3.8000,9.0640,8.8072,10.3324,11.4863,1.8295,94.9033,1.6743,35.0195,43.4152,0.9227
2002-04,0.5352,0.8860,0.4428,1.4429,2.3227,1.5815,8.2772,8.3942,7.8000,48.9386,130.7718,1318.0909,3.8000,9.1649,8.6102,10.3070,11.0832,1.8285,96.0295,1.6542,34.9173,43.4423,0.8714
2002-05,0.5498,0.9170,0.4610,1.4598,2.4753,1.5502,8.2770,8.1098,7.7994,49.0168,126.3750,1262.2000,3.8000,9.5099,8.2050,10.0642,10.1615,1.8004,96.3182,1.5889,34.4536,42.8165,0.9858
2002-06,0.5682,0.9561,0.4886,1.4837,2.7144,1.5318,8.2767,7.7775,7.8000,48.9840,123.2905,1219.6950,3.8000,9.7671,7.7533,9.5376,10.1841,1.7831,96.4075,1.5399,33.8890,42.1600,1.2121
